"nrounds","eta","max_depth","colsample_bytree","min_child_weight","rmse_xgb_train","rmse_xgb_test"
1200,0.008,6,1,10,0.0595122833170069,0.130909675335203
1500,0.008,6,1,10,0.0499979512351962,0.130129562200219
800,0.01,6,1,10,0.0670861974399782,0.131962904861372
1000,0.01,6,1,10,0.056750294107534,0.130332770143958
1200,0.01,6,1,10,0.0494372213210614,0.129981302263228
1500,0.01,6,1,10,0.041223112076375,0.129381673205378
800,0.001,8,1,10,5.42097010742784,5.4007178921146
1000,0.001,8,1,10,4.4424294141309,4.42371798070688
1200,0.001,8,1,10,3.64136652154236,3.62331039961804
1500,0.001,8,1,10,2.70383786391974,2.68669915360277
800,0.005,8,1,10,0.252600441173154,0.260230261956642
1000,0.005,8,1,10,0.123607418486025,0.157109921139495
1200,0.005,8,1,10,0.0818520519503529,0.135538742785922
1500,0.005,8,1,10,0.0620006091205891,0.13113796649539
800,0.008,8,1,10,0.0733363778398551,0.133703369050187
1000,0.008,8,1,10,0.0580744080395029,0.131260091985077
1200,0.008,8,1,10,0.0497639839259652,0.130657428751693
1500,0.008,8,1,10,0.0414511325725173,0.129885093114956
800,0.01,8,1,10,0.0583009049726501,0.131770563801063
1000,0.01,8,1,10,0.0485828190109228,0.131095544664065
1200,0.01,8,1,10,0.0424549974060791,0.130422199109598
1500,0.01,8,1,10,0.0347114070142642,0.12965150514699
800,0.001,5,0.5,20,5.42113974127375,5.40000279159347
1000,0.001,5,0.5,20,4.4426690016895,4.42280166562305
1200,0.001,5,0.5,20,3.6416506998084,3.62240497049664
1500,0.001,5,0.5,20,2.70417286593884,2.68609435993154
800,0.005,5,0.5,20,0.258000108338715,0.261267239867312
1000,0.005,5,0.5,20,0.139576083971426,0.158579643444043
1200,0.005,5,0.5,20,0.106594090249544,0.137707331623936
1500,0.005,5,0.5,20,0.0926669615247513,0.132278210953776
800,0.008,5,0.5,20,0.10130807226555,0.135181312307
1000,0.008,5,0.5,20,0.0900063257784439,0.13211679870016
1200,0.008,5,0.5,20,0.0827813605219383,0.130018418587289
1500,0.008,5,0.5,20,0.0748376063662131,0.128987154535345
800,0.01,5,0.5,20,0.0905927372778429,0.132375100039802
1000,0.01,5,0.5,20,0.0816608460762443,0.129948129525828
1200,0.01,5,0.5,20,0.0745324232857904,0.129206251820452
1500,0.01,5,0.5,20,0.0671285738599274,0.127002037793977
800,0.001,6,0.5,20,5.4211433282859,5.39992608661599
1000,0.001,6,0.5,20,4.4426960014497,4.42280389869854
1200,0.001,6,0.5,20,3.6416384017684,3.62237114515141
1500,0.001,6,0.5,20,2.70415490200579,2.68604744353801
800,0.005,6,0.5,20,0.257632465335632,0.261125503359036
1000,0.005,6,0.5,20,0.138020554547646,0.157781132682157
1200,0.005,6,0.5,20,0.103144581480051,0.1364096248289
1500,0.005,6,0.5,20,0.0882633715714281,0.130839304468187
800,0.008,6,0.5,20,0.0975451424615923,0.134025116321089
1000,0.008,6,0.5,20,0.0846275907345785,0.130457092159764
1200,0.008,6,0.5,20,0.0772683382885493,0.129515101275457
1500,0.008,6,0.5,20,0.0680729742521404,0.128600577941381
800,0.01,6,0.5,20,0.0850755830797191,0.131197869434929
1000,0.01,6,0.5,20,0.0758745138778863,0.12951477281063
1200,0.01,6,0.5,20,0.0678513244308806,0.129041173165107
1500,0.01,6,0.5,20,0.0596895308306763,0.127150524860174
800,0.001,8,0.5,20,5.4211635686926,5.39995420004075
1000,0.001,8,0.5,20,4.44269211842689,4.42286160691844
1200,0.001,8,0.5,20,3.64165049700686,3.62225783264856
1500,0.001,8,0.5,20,2.70417424138728,2.68592214410249
800,0.005,8,0.5,20,0.257411952828664,0.261407492029102
1000,0.005,8,0.5,20,0.135734185829246,0.157838790152819
1200,0.005,8,0.5,20,0.0989099292635393,0.135763102316668
1500,0.005,8,0.5,20,0.0818387037300277,0.130365994311483
800,0.008,8,0.5,20,0.0924813185428734,0.13363066992883
1000,0.008,8,0.5,20,0.0777878770553846,0.129873019241817
1200,0.008,8,0.5,20,0.0697911316612898,0.128617130499962
1500,0.008,8,0.5,20,0.0599750309044995,0.127190296384178
800,0.01,8,0.5,20,0.0781602415717709,0.130259652735223
1000,0.01,8,0.5,20,0.0678294905542458,0.128958314747297
1200,0.01,8,0.5,20,0.060084982917626,0.127721826241684
1500,0.01,8,0.5,20,0.0518921823763526,0.127879504207827
800,0.001,5,0.75,20,5.42103313153145,5.40045228552713
1000,0.001,5,0.75,20,4.44254382155634,4.42341206403077
1200,0.001,5,0.75,20,3.64148656314168,3.6230553793743
1500,0.001,5,0.75,20,2.70397925339564,2.6867027308412
800,0.005,5,0.75,20,0.256932026724835,0.260846775108725
1000,0.005,5,0.75,20,0.138359410951422,0.159016466802966
1200,0.005,5,0.75,20,0.104913699421178,0.139057071866347
1500,0.005,5,0.75,20,0.0908469850309134,0.133279601214691
800,0.008,5,0.75,20,0.0993437834734133,0.135675736141737
1000,0.008,5,0.75,20,0.0880061574241713,0.133206872249225
1200,0.008,5,0.75,20,0.0810645708800408,0.132424053937003
